"Location","序號","DateTimeRound","HourNumber","DeskCount.mean","DeskCount.median","口採樣點.mean","鼻採樣點.mean","口採樣點.median","鼻採樣點.median","WaitingQueue.mean","WaitingMinutes.mean","WaitingQueue.median","WaitingMinutes.median","WaitingQueue.current","WaitingMinutes.current","MaxCurrentFlag","DeskCount.ntile","AvgDeskCount","Sno","LocationEnglish","lon","lat","area"
"奧林匹克體育中心室內體育館","B21","2022/07/23 12:00:00",12,9,9,7,2,7,2,52.5,6,52.5,6,NA,NA,NA,2,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/23 11:30:00",11.5,9,9,7,2,7,2,52.5,6,52.5,6,0,0,0,3,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/23 11:00:00",11,9,9,7,2,7,2,53,5.714285714285714,65,7,0,0,0,3,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/23 10:30:00",10.5,9,9,7,2,7,2,31.333333333333332,3.3333333333333335,37,4,0,0,0,3,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/23 10:00:00",10,9,9,7,2,7,2,43.333333333333336,5,50,6,0,0,0,3,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/23 09:30:00",9.5,9,9,7,2,7,2,37.57142857142857,4.285714285714286,50,6,0,0,0,3,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/23 09:00:00",9,9,9,7,2,7,2,29.285714285714285,3.4285714285714284,25,3,0,0,0,3,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/23 08:30:00",8.5,9,9,7,2,7,2,52.142857142857146,5.714285714285714,55,6,0,0,0,3,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/23 08:00:00",8,9,9,7,2,7,2,77.14285714285714,8.428571428571429,75,8,0,0,0,3,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/23 07:30:00",7.5,5.142857142857143,9,7,2,7,2,30,3,30,3,0,0,0,2,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
